,joinKey
0,"['punch', 'software', '20100', 'punch', '5', 'in', '1', 'home', 'design', 'punch', 'software']"
1,"['onone', 'software', 'ice', '10770', 'intellihance', 'pro', '4', '1', 'mac', 'win', 'buy', 'now', 'and', 'get', 'free', 'cs3', 'compatibility', 'upgrades', 'onone', 'software']"
2,"['adobe', 'cs3', 'web', 'standard']"
3,"['red', 'mile', 'entertainment', '124', 'aircraft', 'power', 'pack', 'for', 'ms', 'flight', 'simulator', 'win', '98', 'me', 'nt', '2000', 'xp']"
4,"['sonicwall', 'gms', '1000n', 'incremental', 'lic', 'upg']"
5,"['hijack2', 'identity', 'and', 'data', 'security', 'suite']"
6,"['bias', 'deck', '3', '5', 'le', 'digital', 'audio', 'recording', 'software', 'music', 'production', 'software']"
7,"['iview', 'mediapro', '2', '6', 'media', 'management']"
8,"['apple', 'ilife', '06']"
9,"['onone', 'software', 'essentials', 'for', 'adobe', 'photoshop', 'elements', 'version', '2', 'full']"
10,"['palmspring', 'software', '523', 'oxford', 'american', 'desk', 'dictionary', 'palmspring', 'software']"
11,"['cyberlink', 'power', 'director', '3']"
12,"['power', 'production', 'power', 'production', 'storyboard', 'artist', 'software', 'animation', 'software']"
13,"['allume', 'aquazone', 'bass', 'edition']"
14,"['global', 'software', 'a1826m2w', 'dk', 'amazing', 'animals', '1', '1', 'win', '95', '98', '2000', 'xp', 'vista']"
15,"['adobe', 'indesign', 'cs3', 'for', 'mac', 'upgrade', 'from', 'pagemaker']"
